index,precision_at_recall,epoch,stage
0,0.7905160189,0,train
1,0.9326073527000001,1,train
2,0.9775900841,2,train
3,0.9909334183,3,train
4,0.9955204725000001,4,train
5,0.9977841377000001,5,train
6,0.9986644387,6,train
7,0.9991892576,7,train
8,0.9993721843000001,8,train
9,0.9996019602,9,train
10,0.9995118380000001,10,train
11,0.999569416,11,train
12,0.9996886849000001,12,train
13,0.9996942878,13,train
14,0.9997658730000001,14,train
15,0.9996377826,15,train
16,0.9997453690000001,16,train
17,0.9998115897000001,17,train
18,0.9996896386,18,train
19,0.9998168945,19,train
20,0.9998787642,20,train
21,0.9998503327,21,train
22,0.9997915626,22,train
23,0.9998247027,23,train
24,0.9998252988,24,train
0,0.8634812236,0,test
1,0.8492604494,1,test
2,0.8142305017,2,test
3,0.803868711,3,test
4,0.7943617702,4,test
5,0.7874789238000001,5,test
6,0.7803298831000001,6,test
7,0.7787665129,7,test
8,0.7755133510000001,8,test
9,0.7761560678,9,test
10,0.7676492929000001,10,test
11,0.7663100958,11,test
12,0.7660536766,12,test
13,0.7582697272000001,13,test
14,0.7594955564,14,test
15,0.7582532763000001,15,test
16,0.7564465404,16,test
17,0.7533046007,17,test
18,0.7513313890000001,18,test
19,0.7515241504,19,test
20,0.7521570921,20,test
21,0.7445030808,21,test
22,0.7415155172,22,test
23,0.7396903634,23,test
24,0.7338995337,24,test
